"international_plan","total_day_minutes","total_intl_minutes","number_customer_service_calls","total_intl_calls","churn"
"1960","no",191.8,12.8,2,3,"no"
"1961","no",149,13.9,0,11,"no"
"1962","no",117.1,11.1,3,4,"no"
"1963","no",108,10.4,3,3,"no"
"1964","no",112.8,10.1,0,5,"no"
"1965","no",175.9,11,1,6,"no"
"1966","no",236.6,11.1,1,2,"yes"
"1967","no",169.4,2,1,7,"no"
"1968","no",129.6,9.4,3,10,"no"
"1969","no",177.1,8,1,6,"no"
"1970","no",133.3,13.5,1,2,"no"
"1971","no",167.8,13,5,3,"no"
"1972","no",174.6,9,1,4,"no"
"1973","no",150.3,12.5,2,4,"no"
"1974","no",283.2,6.3,5,1,"no"
"1975","no",157.8,8.7,5,2,"yes"
"1976","no",141.2,7,2,2,"no"
"1977","no",230.2,10.4,1,2,"no"
"1978","yes",237.8,15.6,2,6,"yes"
"1979","yes",204,13.3,3,3,"yes"
"1980","no",221.1,7.4,1,3,"no"
"1981","no",177.2,12.7,4,2,"no"
"1982","no",118,5.3,1,5,"no"
"1983","no",163.8,15.7,0,4,"no"
"1984","no",141.3,9.4,3,3,"no"
"1985","no",272.5,16.4,3,5,"yes"
"1986","no",118.9,8.2,2,5,"no"
"1987","no",7.9,12.1,0,1,"no"
"1988","no",159.5,10.2,0,4,"no"
"1989","no",150.2,12.1,1,2,"no"
"1990","no",144.5,12,2,7,"no"
"1991","no",140.7,12.4,2,4,"no"
"1992","no",169.2,12.6,1,3,"no"
"1993","no",220.8,7.6,2,3,"no"
"1994","no",216.3,4.5,0,3,"no"
"1995","no",169.5,10.6,0,7,"no"
"1996","no",256.3,11.7,1,1,"no"
"1997","no",179.7,7.6,1,3,"no"
"1998","no",266,13.1,3,6,"no"
"1999","no",96.7,9.7,2,3,"no"
"2000","no",82.7,10.9,0,9,"no"
"2001","no",168.2,10.1,3,3,"no"
"2002","no",286.4,10.7,1,14,"yes"
"2003","no",174.3,12.9,3,5,"no"
"2004","yes",190.6,13,1,6,"no"
"2005","no",175.5,17.8,4,3,"no"
"2006","no",133.4,11.1,1,7,"no"
"2007","no",204.6,6.6,3,2,"no"
"2008","no",242.2,6.2,3,6,"no"
"2009","no",253.1,11.9,3,4,"no"
"2010","no",130,8.3,0,4,"no"
"2011","no",105.9,12.7,0,7,"no"
"2012","no",194.2,9.3,3,7,"no"
"2013","no",183.8,6.1,1,2,"no"
"2014","no",196.5,10.8,2,2,"no"
"2015","no",184.5,13.7,3,3,"no"
"2016","no",261.9,13.8,0,4,"no"
"2017","no",202.4,9.2,3,5,"no"
"2018","no",167.4,9.5,3,4,"no"
"2019","no",167.7,7.5,1,11,"no"
"2020","no",191.7,11.1,1,4,"no"
"2021","no",240.2,5.2,2,1,"no"
"2022","no",189.1,11.1,1,4,"no"
"2023","no",127.7,10.6,1,7,"no"
"2024","no",205.2,13.4,1,3,"no"
"2025","no",153.6,12.6,2,3,"no"
"2026","no",154.5,13.4,2,3,"no"
"2027","no",153.7,14.1,1,6,"no"
"2028","yes",171.2,10.8,1,3,"no"
"2029","no",328.1,8.7,1,3,"yes"
"2030","yes",145.9,14.4,0,10,"yes"
"2031","no",201.2,11.8,1,1,"no"
"2032","no",139.1,11.4,5,9,"no"
"2033","no",118.9,13.2,2,10,"no"
"2034","no",217.6,10.4,2,4,"yes"
"2035","no",145,14.6,1,2,"no"
"2036","no",203.5,8.7,3,3,"no"
"2037","no",240.1,8,3,6,"no"
"2038","no",83.8,6.7,1,8,"no"
"2039","no",269.8,10.1,1,8,"yes"
"2040","no",126.3,10.6,1,2,"no"
"2041","no",88.1,9.7,2,1,"no"
"2042","no",218.5,9.9,2,4,"no"
"2043","no",236.8,11.2,1,8,"no"
"2044","no",124.1,6.4,3,5,"no"
"2045","yes",184.2,10,0,10,"no"
"2046","no",222.7,13.6,4,4,"no"
"2047","no",149.2,11.1,1,5,"no"
"2048","no",206.5,12.2,3,4,"no"
"2049","no",159.7,9.6,3,9,"no"
"2050","no",204.7,7,2,2,"no"
"2051","no",213.2,7.5,1,4,"no"
"2052","yes",269.6,8.2,1,6,"no"
"2053","no",116.7,9.7,2,6,"no"
"2054","no",263.4,13,0,4,"no"
"2055","no",140.2,7.1,1,2,"no"
"2056","no",197.7,13.5,1,3,"no"
"2057","no",136.2,13.3,3,7,"no"
"2058","no",88.5,11.5,2,3,"no"
"2059","no",215.3,12.1,0,9,"no"
"2060","no",269.2,8.9,3,2,"yes"
"2061","no",203.8,7.3,0,5,"no"
"2062","no",268.4,10.3,0,3,"no"
"2063","no",159.1,10.3,1,4,"no"
"2064","no",114.4,10.1,2,5,"no"
"2065","no",138.9,9.2,2,3,"no"
"2066","no",186,12.2,1,6,"no"
"2067","no",170.4,15.1,0,5,"no"
"2068","no",164.5,9.9,4,3,"no"
"2069","no",168.6,12.3,1,4,"no"
"2070","no",261.2,9.8,0,2,"yes"
"2071","no",190.5,13.1,1,5,"no"
"2072","no",181.1,4.2,2,9,"no"
"2073","no",177.1,6.5,3,6,"no"
"2074","no",160.5,11.3,1,4,"no"
"2075","no",134.7,6.6,2,5,"no"
"2076","no",198.2,8.8,2,1,"no"
"2077","yes",228.9,10.1,4,2,"yes"
"2078","no",241.7,13.1,0,3,"no"
"2079","no",131.1,4.3,1,4,"no"
"2080","no",234.1,13.1,2,9,"no"
"2081","no",200.1,11.9,0,5,"no"
"2082","no",154,10.1,1,7,"no"
"2083","no",224.2,9.8,0,4,"no"
"2084","no",148.3,8.3,3,6,"no"
"2085","no",174.6,8.8,2,5,"no"
"2086","no",138.5,11.1,1,7,"no"
"2087","no",109,12.6,1,2,"no"
"2088","no",162.3,11.1,4,8,"no"
"2089","no",210.8,16.4,2,3,"no"
"2090","no",142.4,11.1,1,7,"no"
"2091","no",223.5,10.6,2,5,"no"
"2092","no",182.5,7.5,2,2,"no"
"2093","no",219.6,10.8,2,4,"no"
"2094","no",193.6,12.9,0,3,"no"
"2095","no",192.4,11,0,6,"no"
"2096","no",236.2,13.3,0,4,"no"
"2097","no",233.2,16.1,0,4,"no"
"2098","no",158.8,9.8,2,4,"no"
"2099","no",126.1,9.8,1,4,"no"
"2100","no",290.4,10.1,3,5,"yes"
"2101","no",60.6,13.3,0,7,"no"
"2102","no",148.4,6.9,0,6,"no"
"2103","no",246.5,12.7,2,3,"no"
"2104","no",298.1,9.7,2,4,"yes"
"2105","no",119.3,10.9,2,4,"no"
"2106","no",242.5,9.6,0,7,"no"
"2107","yes",222.1,13.6,0,2,"yes"
"2108","no",236.2,10.1,2,6,"yes"
"2109","no",144.2,9.5,0,4,"no"
"2110","no",154.6,12.6,3,1,"no"
"2111","no",137.4,10.2,2,6,"no"
"2112","no",103.7,14.4,0,1,"no"
"2113","no",136.6,12.2,4,2,"yes"
"2114","no",289.8,11.7,2,4,"yes"
"2115","no",260.9,13.3,3,5,"no"
"2116","yes",196.2,15.2,0,1,"yes"
"2117","no",195.6,14.2,1,4,"no"
"2118","no",222.2,11.9,4,7,"no"
"2119","yes",172.9,9.8,0,1,"yes"
"2120","no",249.8,11.6,0,4,"yes"
"2121","no",154.5,13.7,1,3,"no"
"2122","no",90.4,12.7,1,2,"no"
"2123","no",268.8,16.4,0,3,"no"
"2124","no",106.1,8.1,1,3,"no"
"2125","no",27,10.7,3,3,"no"
"2126","no",140.1,3.8,1,10,"no"
"2127","no",245,9.7,1,6,"no"
"2128","no",196.7,11.2,3,5,"no"
"2129","no",131.2,10.2,2,6,"no"
"2130","no",149.6,7.4,2,4,"no"
"2131","no",239.8,10.9,1,10,"no"
"2132","no",142.1,11,1,4,"no"
"2133","no",115.4,6,3,3,"no"
"2134","no",193,10.3,2,8,"no"
"2135","no",206.1,13,1,1,"no"
"2136","no",160.3,11.2,0,2,"no"
"2137","no",199.9,11.3,1,7,"no"
"2138","no",213.1,8.9,0,3,"no"
"2139","no",178.3,10.9,3,1,"no"
"2140","yes",252.3,12,3,5,"yes"
"2141","no",197.7,13.2,4,5,"no"
"2142","no",111.1,6.6,2,3,"no"
"2143","no",96.5,12.5,1,3,"yes"
"2144","no",156.9,11.3,3,5,"no"
"2145","no",123.3,12.7,1,2,"no"
"2146","no",193.7,10.8,1,5,"no"
"2147","yes",206.9,10.9,0,4,"no"
"2148","no",249.8,12.7,3,4,"yes"
"2149","no",144,10,1,7,"no"
"2150","no",299.5,11.6,0,5,"no"
"2151","no",226,12.6,2,4,"yes"
"2152","no",137.6,9.6,2,6,"no"
"2153","yes",211.7,11.1,1,3,"no"
"2154","no",89.7,9.5,2,4,"no"
"2155","yes",197.6,12.5,2,8,"no"
"2156","no",270,12,2,5,"yes"
"2157","no",224.7,11.3,3,11,"no"
"2158","no",194.3,10.2,2,2,"no"
"2159","yes",47.7,13.2,0,3,"yes"
"2160","no",190.1,13,1,2,"no"
"2161","yes",89.5,7.9,1,1,"yes"
"2162","no",182.6,12.1,0,5,"no"
"2163","no",205.5,6.9,1,4,"no"
"2164","no",231.5,7.4,1,10,"no"
"2165","yes",251.3,9.9,3,1,"yes"
"2166","no",171.2,13,2,3,"no"
"2167","no",197.9,11.2,2,2,"no"
"2168","no",134.8,6.7,1,8,"no"
"2169","no",191.4,10.3,1,3,"no"
"2170","no",174.5,10.6,0,2,"no"
"2171","no",177.4,10.9,0,4,"no"
"2172","no",182.1,6.8,1,1,"no"
"2173","no",222.4,11.2,0,4,"no"
"2174","yes",47.8,13.3,0,7,"yes"
"2175","no",121.8,10.3,1,5,"no"
"2176","no",143.5,8.8,3,5,"no"
"2177","no",164.9,7.8,2,4,"no"
"2178","no",193.6,13.1,2,1,"no"
"2179","no",101.1,7.3,0,5,"no"
"2180","no",92.3,11.6,2,3,"no"
"2181","no",168.9,2.9,2,7,"no"
"2182","no",219.2,15,1,5,"no"
"2183","no",178.1,13,0,4,"no"
"2184","no",146.5,14,3,6,"no"
"2185","no",172.3,11.8,1,5,"no"
"2186","no",190.9,13,1,3,"no"
"2187","no",232.1,10.9,3,2,"yes"
"2188","no",169.2,12.4,4,4,"yes"
"2189","no",123.8,7.3,2,4,"no"
"2190","no",96,9.7,3,4,"no"
"2191","no",93.4,10.9,1,1,"no"
"2192","no",90.6,5.4,1,9,"no"
"2193","no",152.9,5.3,2,6,"no"
"2194","no",257.9,9.4,2,2,"no"
"2195","yes",85.2,9,2,3,"no"
"2196","no",160,6.1,1,10,"no"
"2197","no",182.9,11.5,0,4,"no"
"2198","no",216.2,3.1,2,1,"no"
"2199","no",261.7,3.3,0,5,"no"
"2200","no",241.2,8.5,2,4,"no"
"2201","no",177.2,8.4,1,6,"no"
"2202","no",89.5,14,2,3,"no"
"2203","yes",200.3,10.4,1,3,"no"
"2204","yes",145,11,4,2,"yes"
"2205","no",159.5,6.8,2,3,"no"
"2206","no",151.8,11.2,3,8,"no"
"2207","no",176.2,10.6,1,4,"no"
"2208","no",152.1,9.8,0,5,"no"
"2209","no",161.3,9.6,1,3,"no"
"2210","yes",171.7,6.8,3,3,"no"
"2211","no",278.9,11.7,0,7,"yes"
"2212","no",213,11.1,4,3,"no"
"2213","no",242.9,4.8,1,12,"no"
"2214","no",217.2,12.4,0,2,"yes"
"2215","no",175.9,13,1,7,"no"
"2216","no",303.2,11.5,0,3,"yes"
"2217","no",238.9,11.8,2,3,"no"
"2218","no",189.6,11.4,2,5,"no"
"2219","no",133.3,11.3,5,5,"yes"
"2220","no",92.7,9.9,3,4,"no"
"2221","no",177.2,8.6,3,7,"no"
"2222","no",184.5,10.2,2,6,"no"
"2223","no",176.1,12.1,0,9,"no"
"2224","no",204.7,11,6,4,"no"
"2225","no",143.6,15.5,2,5,"no"
"2226","no",179.3,12.1,1,5,"no"
"2227","no",137.3,10.5,1,2,"no"
"2228","no",237.8,10.2,2,6,"no"
"2229","no",203.7,7.6,2,5,"no"
"2230","no",191.3,17.6,2,5,"no"
"2231","yes",209.1,7.8,2,3,"no"
"2232","no",88.8,7.1,3,9,"no"
"2233","no",97.2,12.4,0,5,"no"
"2234","no",137.9,11,1,5,"no"
"2235","no",224.3,10,2,1,"no"
"2236","no",207.6,9.7,1,3,"no"
"2237","no",268.1,14.4,2,6,"no"
"2238","no",166.7,6.8,4,7,"yes"
"2239","no",267.1,17.3,1,4,"yes"
"2240","no",181.8,9.3,2,3,"no"
"2241","no",147.1,13.7,0,7,"no"
"2242","no",37.7,4.9,1,3,"no"
"2243","no",185,11.4,2,3,"no"
"2244","no",156.4,8.6,2,4,"no"
"2245","no",239.3,10.9,1,3,"no"
"2246","no",215.5,8.8,2,5,"no"
"2247","no",134.9,11.3,1,6,"no"
"2248","no",194.8,12.8,0,3,"no"
"2249","no",239.1,13.3,5,3,"no"
"2250","no",92.6,14.4,3,4,"no"
"2251","no",209.4,7.2,1,4,"no"
"2252","no",197.6,6.4,1,6,"no"
"2253","no",17.6,10.6,1,6,"no"
"2254","yes",62.9,8.9,1,8,"no"
"2255","no",202.3,6.7,1,3,"no"
"2256","no",136.1,11.3,0,4,"no"
"2257","no",207,2.6,1,6,"no"
"2258","no",207.9,13.5,1,3,"no"
"2259","yes",276.5,7.2,1,3,"yes"
"2260","no",313.8,10.1,3,7,"no"
"2261","yes",288.5,13,1,5,"no"
"2262","no",210.9,9.4,4,5,"no"
"2263","no",64.9,14.6,1,1,"no"
"2264","no",243.5,9,1,9,"no"
"2265","no",197,8.7,3,3,"no"
"2266","no",278,8.7,0,4,"no"
"2267","no",219.9,10,1,4,"no"
"2268","no",313.2,12.8,2,4,"yes"
"2269","no",145.7,11.3,0,7,"no"
"2270","no",75.8,8.2,0,13,"no"
"2271","no",195.9,12.2,3,4,"no"
"2272","no",132,8.7,1,10,"no"
"2273","no",124,11.7,2,2,"no"
"2274","no",171.9,7.6,2,3,"no"
"2275","no",249.4,9.9,4,2,"no"
"2276","yes",228.4,7.7,0,7,"no"
"2277","no",168.6,5.9,3,2,"no"
"2278","no",123.7,13.3,0,4,"no"
"2279","no",178.7,8.4,1,4,"no"
"2280","no",113.2,9.5,1,5,"no"
"2281","no",142.4,13.4,2,6,"no"
"2282","no",204.2,8.3,0,4,"no"
"2283","no",149.7,12.6,3,4,"no"
"2284","no",227.1,4.7,5,4,"yes"
"2285","no",155.3,12.6,2,5,"no"
"2286","no",156.4,11.8,1,3,"no"
"2287","no",148.7,10.4,0,7,"no"
"2288","no",271.7,6.6,3,4,"no"
"2289","no",193.7,8.8,0,4,"no"
"2290","yes",245.5,10.8,1,7,"no"
"2291","no",245.3,10.7,3,2,"yes"
"2292","no",196.1,11.9,0,1,"no"
"2293","no",134.1,10.5,2,2,"no"
"2294","yes",225,9.1,1,3,"no"
"2295","no",189.7,7.4,0,4,"no"
"2296","no",142.9,6.6,0,4,"no"
"2297","no",175.6,10.2,1,6,"no"
"2298","no",92.4,12.9,2,4,"no"
"2299","no",92.8,8.8,1,5,"no"
"2300","no",221.7,8,0,4,"no"
"2301","no",159.6,8.8,0,3,"no"
"2302","no",144.5,17,2,6,"no"
"2303","no",159.1,11.5,2,6,"no"
"2304","no",49.9,10.1,2,4,"no"
"2305","no",116.9,11,0,9,"no"
"2306","no",150,11.1,3,3,"no"
"2307","no",254.4,6,1,5,"no"
"2308","no",270.7,10.9,3,3,"no"
"2309","no",207,12.1,1,3,"no"
"2310","yes",145.3,8.9,0,4,"no"
"2311","no",230.7,13.5,3,2,"no"
"2312","no",151.5,10.8,1,2,"no"
"2313","no",146.1,9.2,0,3,"no"
"2314","no",256,11.5,3,4,"no"
"2315","no",200.2,11.6,3,4,"no"
"2316","no",150.7,7,2,4,"no"
"2317","yes",186,12.9,1,4,"no"
"2318","no",212.9,6.3,3,3,"no"
"2319","no",194.8,11.5,0,7,"no"
"2320","no",272.5,8.7,3,6,"no"
"2321","no",135.1,11.7,1,4,"no"
"2322","no",154.6,15.5,1,2,"no"
"2323","no",230.5,10.6,5,6,"no"
"2324","no",165.4,8.2,1,1,"no"
"2325","no",143.3,7.8,4,2,"yes"
"2326","no",271.1,9.8,2,5,"yes"
"2327","no",253.5,14,0,2,"no"
"2328","no",167.1,9.4,6,1,"yes"
"2329","no",168.3,8.4,1,6,"no"
"2330","no",104.7,8.9,1,2,"no"
"2331","no",135.4,10.6,1,2,"no"
"2332","no",191.4,7.2,1,2,"no"
"2333","no",158.7,10.5,1,4,"no"
"2334","no",144.8,8.2,2,4,"no"
"2335","no",98.8,10,3,4,"no"
"2336","yes",157.8,10,3,2,"yes"
"2337","no",163,11.6,1,5,"no"
"2338","no",181.6,8.3,4,6,"no"
"2339","no",129,11.2,2,3,"no"
"2340","no",86,8.9,1,4,"no"
"2341","no",193.9,12.6,0,7,"no"
"2342","no",109.4,7.1,0,7,"no"
"2343","no",188.9,10.2,2,2,"no"
"2344","yes",179.9,13.8,1,2,"yes"
"2345","no",183.4,8.2,1,8,"no"
"2346","no",288.1,0,0,0,"no"
"2347","no",169.2,4.6,2,4,"no"
"2348","yes",195.5,13.5,1,9,"yes"
"2349","no",264.4,11.3,2,3,"no"
"2350","no",207.7,9.6,0,5,"no"
"2351","no",169.5,8.7,0,4,"no"
"2352","no",141.5,3.4,2,4,"no"
"2353","no",154.8,12.8,0,4,"no"
"2354","yes",133.5,11.7,1,4,"no"
"2355","no",273.2,13.1,2,7,"yes"
"2356","no",224.6,12.5,2,8,"no"
"2357","no",273.8,5.8,2,3,"yes"
"2358","no",159.5,10.1,1,2,"yes"
"2359","no",104,14.6,0,8,"no"
"2360","no",115.4,13.1,1,4,"no"
"2361","no",222.1,9.4,2,3,"no"
"2362","no",116.4,10.5,3,3,"no"
"2363","no",217.7,0,3,0,"no"
"2364","no",129.4,13.3,0,3,"no"
"2365","no",161.8,13.7,0,4,"no"
"2366","no",198.8,11.5,1,5,"no"
"2367","no",147.8,14,1,5,"no"
"2368","no",262.3,6.6,3,5,"no"
"2369","no",246.4,7.6,1,7,"no"
"2370","no",174.3,9,4,6,"yes"
"2371","no",183.4,9.9,4,4,"no"
"2372","no",191.9,18.2,1,3,"no"
"2373","no",187.8,10.1,2,3,"no"
"2374","no",259.7,10.2,0,2,"no"
"2375","yes",180.4,8.4,0,5,"no"
"2376","no",51.8,10.4,2,4,"no"
"2377","no",303.9,5.8,1,3,"yes"
"2378","no",123.7,8.8,1,4,"yes"
"2379","no",206.2,12.6,3,7,"no"
"2380","no",164.3,11.8,2,1,"no"
"2381","no",228.6,10.1,9,2,"yes"
"2382","no",200.4,7.6,1,5,"no"
"2383","no",154.3,10.9,0,8,"no"
"2384","no",122.9,9.6,2,2,"no"
"2385","yes",220.8,6.4,0,3,"no"
"2386","no",214.6,13.9,0,2,"no"
"2387","yes",202,7.4,2,2,"yes"
"2388","no",209.5,9.1,6,6,"yes"
"2389","no",297.9,8.9,1,5,"yes"
"2390","no",212.8,10.6,0,4,"yes"
"2391","no",145.6,12.2,0,5,"no"
"2392","no",152.9,10.8,2,6,"no"
"2393","no",125.4,11,1,7,"no"
"2394","no",138.3,8.3,0,8,"no"
"2395","no",189.3,11.2,3,5,"no"
"2396","no",199.3,14.3,4,2,"no"
"2397","yes",247.5,10.6,2,3,"no"
"2398","no",294.9,13.2,1,5,"yes"
"2399","no",175.4,11.5,1,3,"no"
"2400","no",179.4,11.2,1,5,"no"
"2401","yes",126.8,8.4,0,4,"no"
"2402","yes",239.7,11.4,1,1,"yes"
"2403","no",143,15.3,5,4,"yes"
"2404","no",91.9,13,2,7,"no"
"2405","no",210.4,15.5,1,4,"no"
"2406","no",201.3,6.4,1,6,"yes"
"2407","no",145.6,9.2,2,4,"no"
"2408","yes",203.5,13.4,1,6,"yes"
"2409","no",232.4,10.5,1,2,"no"
"2410","no",86.5,8.7,2,2,"no"
"2411","no",109.9,10.9,0,6,"no"
"2412","no",156,9.3,1,5,"no"
"2413","no",326.3,7.5,1,1,"yes"
"2414","no",195,14.8,0,9,"no"
"2415","yes",110,6.4,0,7,"no"
"2416","no",147.1,9,5,3,"yes"
"2417","no",156,11.9,2,5,"no"
"2418","no",98.2,9.3,2,4,"no"
"2419","no",210.6,11,0,5,"no"
"2420","no",239.9,8.9,2,4,"yes"
"2421","yes",159.9,11.6,2,2,"yes"
"2422","no",197.8,10.9,4,3,"yes"
"2423","no",115.4,15.2,2,6,"no"
"2424","no",123.8,3.7,0,2,"no"
"2425","no",117.6,6.4,1,3,"no"
"2426","no",105.3,8.6,2,6,"no"
"2427","no",111.7,13.1,1,6,"no"
"2428","no",159.3,9.5,2,3,"no"
"2429","no",81.7,11.3,6,3,"yes"
"2430","no",238,10,2,5,"no"
"2431","no",128.1,15.6,0,3,"no"
"2432","no",171.2,10.2,1,4,"no"
"2433","no",109,13.3,4,3,"yes"
"2434","no",220,12.1,2,3,"no"
"2435","no",55.6,11.3,0,4,"no"
"2436","no",286.6,10.3,1,6,"no"
"2437","no",207.6,13.3,1,2,"no"
"2438","no",109.6,8.3,4,4,"yes"
"2439","no",197.2,11,2,5,"no"
"2440","no",175.7,14.6,1,4,"no"
"2441","no",205.2,7,0,6,"no"
"2442","no",193.1,12.1,1,4,"no"
"2443","no",232.6,4.7,3,3,"no"
"2444","no",102.7,11,0,5,"no"
"2445","no",263.1,9.7,5,4,"no"
"2446","no",197,11.6,1,5,"no"
"2447","no",169.3,11.6,2,6,"no"
"2448","no",201.5,12.9,1,4,"no"
"2449","no",251,13.8,3,3,"no"
"2450","no",230.4,7.6,3,6,"no"
"2451","no",109.8,11.9,1,6,"no"
"2452","no",279.5,10.7,2,4,"yes"
"2453","no",173.4,13.7,1,6,"no"
"2454","no",214.4,10,1,8,"no"
"2455","no",96.1,9.7,1,4,"no"
"2456","no",101.4,7.1,1,6,"no"
"2457","no",232.5,10.4,4,6,"no"
"2458","no",174.5,12.2,1,2,"no"
"2459","no",224,8.8,1,4,"no"
"2460","no",211.1,14.7,4,7,"no"
"2461","no",109.2,9.8,2,5,"no"
"2462","no",220,11.5,0,5,"no"
"2463","no",181.4,10.9,2,4,"no"
"2464","no",180.7,10.1,2,4,"no"
"2465","no",96.5,9.4,1,2,"no"
"2466","no",183.5,8.3,3,5,"no"
"2467","no",107.9,10.5,0,2,"no"
"2468","yes",161,7.7,1,6,"no"
"2469","yes",146.8,4.3,1,2,"yes"
"2470","no",149.2,8.3,3,2,"no"
"2471","no",227.8,5.6,3,4,"no"
"2472","no",160.3,7.4,0,3,"no"
"2473","no",137.8,10.2,1,6,"yes"
"2474","no",141.7,8.5,0,7,"no"
"2475","no",196.4,9.3,0,1,"no"
"2476","no",175.2,5.3,1,3,"no"
"2477","no",146.8,9.9,1,3,"no"
"2478","no",173.9,9.1,1,7,"no"
"2479","no",305.2,13.2,1,7,"no"
"2480","yes",162.3,11.7,3,2,"yes"
"2481","yes",150,10.3,3,7,"no"
"2482","no",197.5,11.3,1,4,"no"
"2483","no",240.2,10.2,2,6,"no"
"2484","no",186.2,12.9,2,3,"no"
"2485","no",116.9,12.3,0,2,"no"
"2486","no",236.7,12,1,4,"no"
"2487","no",173.2,5.4,0,3,"no"
"2488","no",152.2,9.8,0,3,"no"
"2489","no",181.3,6.7,0,2,"no"
"2490","no",167.8,10.5,4,6,"yes"
"2491","no",175.4,9.8,1,9,"no"
"2492","no",87.6,9.8,2,10,"no"
"2493","no",203.3,8.5,0,6,"no"
"2494","no",92.6,11.3,5,3,"yes"
"2495","no",262.9,8.1,1,4,"no"
"2496","no",160.8,8.5,1,3,"no"
"2497","no",141.8,7.8,1,3,"no"
"2498","no",50.6,4.2,2,4,"no"
"2499","no",134.9,10.2,1,5,"no"
"2500","no",252.1,13.8,1,3,"no"
"2501","no",215.5,9.6,1,3,"no"
"2502","no",124.8,13.4,0,4,"no"
"2503","no",178.7,16.4,2,5,"no"
"2504","no",183.2,9.9,2,5,"no"
"2505","no",167.5,13,1,1,"no"
"2506","no",147.1,12.5,3,9,"no"
"2507","no",230.1,13.2,1,4,"no"
"2508","no",135.8,12.6,0,3,"no"
"2509","no",205.7,8.7,2,3,"no"
"2510","no",73.8,10.9,2,3,"no"
"2511","no",189.3,10,2,1,"no"
"2512","no",147.2,7.2,3,6,"no"
"2513","no",137.3,10.2,0,3,"no"
"2514","no",70.7,0,2,0,"no"
"2515","no",204.6,10.7,0,5,"no"
"2516","no",123.1,12,5,2,"yes"
"2517","no",129.7,12.2,2,3,"no"
"2518","yes",198.7,12.4,0,4,"no"
"2519","no",145.1,7.9,2,5,"no"
"2520","no",135.2,8.4,2,5,"no"
"2521","no",124.7,7.8,1,8,"no"
"2522","no",215.9,12.1,1,4,"no"
"2523","no",119.2,8.4,2,9,"no"
"2524","no",144.3,7.8,3,10,"no"
"2525","no",235.2,11.8,1,4,"no"
"2526","no",174,9.7,0,2,"no"
"2527","yes",115,6.4,0,1,"yes"
"2528","no",151.7,13.1,2,8,"no"
"2529","no",153.1,9.9,3,9,"no"
"2530","no",218.6,9.2,2,5,"no"
"2531","no",265.2,10.7,2,9,"no"
"2532","no",143.3,10.1,1,4,"no"
"2533","no",190.3,7.2,2,9,"no"
"2534","no",184.7,12.3,2,6,"yes"
"2535","no",115.3,18,1,2,"no"
"2536","no",113,9.2,2,5,"yes"
"2537","no",294.2,9,0,1,"yes"
"2538","no",215.6,6.4,3,8,"no"
"2539","no",128.8,14,1,7,"no"
"2540","yes",211.2,10.7,3,2,"yes"
"2541","no",71.2,12.9,1,1,"no"
"2542","no",94.9,14.2,2,2,"no"
"2543","no",259.4,9.5,1,3,"yes"
"2544","no",215.8,6.9,1,3,"no"
"2545","no",97.5,13.2,3,4,"no"
"2546","no",146.5,8.2,0,5,"no"
"2547","no",157.9,12.2,2,5,"no"
"2548","no",139.9,12.7,2,4,"no"
"2549","no",153.2,11.9,1,7,"no"
"2550","yes",103.5,8.4,2,4,"no"
"2551","no",185.8,6.6,1,4,"no"
"2552","no",129.5,10.9,1,3,"no"
"2553","no",236.6,8.9,1,2,"no"
"2554","no",260.4,10,6,2,"no"
"2555","no",167.3,6.7,2,5,"no"
"2556","no",182.2,9.3,2,4,"no"
"2557","no",113,10.8,2,4,"no"
"2558","no",185.7,16.9,0,6,"no"
"2559","no",136.2,9.6,0,5,"no"
"2560","no",222.6,11.5,1,2,"no"
"2561","no",197.3,9,1,6,"no"
"2562","no",141.4,7.7,1,6,"no"
"2563","no",208,8,1,11,"no"
"2564","no",118.5,12.1,1,4,"no"
"2565","no",153.2,10.7,1,8,"no"
"2566","no",108.3,13.5,0,2,"no"
"2567","no",168.6,14.4,2,8,"no"
"2568","no",247.2,9.3,2,2,"yes"
"2569","yes",224.2,12,3,8,"no"
"2570","no",166.9,12.8,3,4,"no"
"2571","no",118.4,8.5,1,6,"no"
"2572","no",190.9,7.8,2,3,"no"
"2573","no",317.8,10.4,1,7,"yes"
"2574","no",312,12.8,1,4,"yes"
"2575","no",146,13.3,1,2,"no"
"2576","no",131.6,15.5,1,3,"yes"
"2577","no",193.4,11.1,2,11,"no"
"2578","no",185.1,8.5,2,5,"no"
"2579","no",193.3,11.8,0,4,"no"
"2580","no",146.4,7.8,1,2,"no"
"2581","no",71.2,8.6,0,4,"no"
"2582","no",123.2,12.9,4,5,"yes"
"2583","no",205,7.5,2,4,"no"
"2584","no",128.7,12.8,1,6,"no"
"2585","no",216.9,11.4,3,5,"no"
"2586","no",150,9.8,3,1,"no"
"2587","no",164.1,11.4,1,2,"no"
"2588","no",212,8.9,3,7,"no"
"2589","no",167.3,12,2,9,"no"
"2590","no",154.4,13.9,1,4,"no"
"2591","no",177.3,9.3,3,7,"no"
"2592","no",231.2,8.8,1,5,"yes"
"2593","no",202.9,12.8,5,3,"no"
"2594","no",149.6,14.3,0,9,"no"
"2595","yes",345.3,11.8,1,8,"yes"
"2596","no",264.9,8.4,1,4,"yes"
"2597","no",122,5.8,1,5,"no"
"2598","no",177.2,14,2,2,"no"
